infected,id,ances,weight,date,ances.date,sp,sp_infector,infector
64420012_8,64,2,0.005873850566039741,2012-03-31T22:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
64420012_9,65,29,0,2012-05-31T22:00:00Z,2012-03-31T22:00:00Z,cattle,cattle,64420012_1
64556023_1,66,2,0,2012-04-30T22:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
64420012_12,67,2,0.011791394778783423,2012-03-31T22:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
64420038_1,68,43,0.0058827303298724,2012-12-31T23:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
45_d500_99_839_3,69,2,0.0058827303298724,2014-06-30T22:00:00Z,2007-06-30T22:00:00Z,badger,badger,45_d500_99_839_0
64359_1,70,43,0,2012-06-30T22:00:00Z,2011-08-31T22:00:00Z,boar,badger,45_d500_105_726_0
64420039_0,71,43,0,2013-01-31T23:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
64359108_0,72,43,0,2013-04-30T22:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
64420038_2,73,43,0,2012-12-31T23:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
64420038_3,74,43,0,2013-02-28T23:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
64521015_0,75,43,0,2015-05-31T22:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
45_d500_170_0,76,43,0,2013-02-28T23:00:00Z,2011-08-31T22:00:00Z,badger,badger,45_d500_105_726_0
45_d500_103_0,77,43,0,2013-05-31T22:00:00Z,2011-08-31T22:00:00Z,badger,badger,45_d500_105_726_0
45_d500_180_0,78,43,0,2013-04-30T22:00:00Z,2011-08-31T22:00:00Z,badger,badger,45_d500_105_726_0
45_d500_37_600_0,79,43,0,2014-08-31T22:00:00Z,2011-08-31T22:00:00Z,badger,badger,45_d500_105_726_0
45_d500_89_0,80,43,0,2019-05-31T22:00:00Z,2011-08-31T22:00:00Z,badger,badger,45_d500_105_726_0
64359_2,81,43,0,2014-01-31T23:00:00Z,2011-08-31T22:00:00Z,boar,badger,45_d500_105_726_0
45_d500_99_766_2,82,42,0,2013-04-30T22:00:00Z,2013-01-31T23:00:00Z,badger,cattle,64420002_1
64420047_0,83,43,0,2012-12-31T23:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
45_d500_37_586_0,84,43,0,2013-05-31T22:00:00Z,2011-08-31T22:00:00Z,badger,badger,45_d500_105_726_0
45_d500_57_715_1,85,43,0,2013-02-28T23:00:00Z,2011-08-31T22:00:00Z,badger,badger,45_d500_105_726_0
45_d500_57_715_2,86,43,0,2014-04-30T22:00:00Z,2011-08-31T22:00:00Z,badger,badger,45_d500_105_726_0
45_d500_99_869_1,87,43,0.0058827303298724,2014-04-30T22:00:00Z,2011-08-31T22:00:00Z,badger,badger,45_d500_105_726_0
45_d500_99_720_1,88,42,0,2015-05-31T22:00:00Z,2013-01-31T23:00:00Z,badger,cattle,64420002_1
64521015_1,89,43,0,2015-05-31T22:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
45_d500_37_586_1,90,220,0,2017-06-30T22:00:00Z,2017-01-31T23:00:00Z,badger,cattle,64359149_0
64359108_1,91,43,0,2013-02-28T23:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
64359108_2,92,43,0,2013-02-28T23:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
64359_3,93,43,0,2018-12-31T23:00:00Z,2011-08-31T22:00:00Z,boar,badger,45_d500_105_726_0
64420002_2,94,42,0,2013-03-31T22:00:00Z,2013-01-31T23:00:00Z,cattle,cattle,64420002_1
64521015_2,95,43,0,2015-03-31T22:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
64449007_0,96,103,0,2015-03-31T22:00:00Z,2013-06-30T22:00:00Z,cattle,badger,45_d500_42_560_0
64359138_0,97,43,0,2013-12-31T23:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
64359_4,98,43,0,2013-05-31T22:00:00Z,2011-08-31T22:00:00Z,boar,badger,45_d500_105_726_0
45_d500_87_0,99,43,0.005873850566039741,2017-04-30T22:00:00Z,2011-08-31T22:00:00Z,badger,badger,45_d500_105_726_0
64521015_3,100,43,0,2015-03-31T22:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
45_d500_37_586_2,101,43,0,2014-06-30T22:00:00Z,2011-08-31T22:00:00Z,badger,badger,45_d500_105_726_0
45_d500_160_1,102,43,0,2014-07-31T22:00:00Z,2011-08-31T22:00:00Z,badger,badger,45_d500_105_726_0
45_d500_42_560_0,103,2,0.005873850566039741,2013-06-30T22:00:00Z,2007-06-30T22:00:00Z,badger,badger,45_d500_99_839_0
56_d500_42_1979_0,104,103,0,2016-01-31T23:00:00Z,2013-06-30T22:00:00Z,badger,badger,45_d500_42_560_0
45_d500_89_1,105,43,0,2013-07-31T22:00:00Z,2011-08-31T22:00:00Z,badger,badger,45_d500_105_726_0
45_d500_99_869_2,106,43,0.0058827303298724,2015-01-31T23:00:00Z,2011-08-31T22:00:00Z,badger,badger,45_d500_105_726_0
45_d500_99_869_3,107,43,0,2014-09-30T22:00:00Z,2011-08-31T22:00:00Z,badger,badger,45_d500_105_726_0
56_d500_42_1979_1,108,103,0,2015-03-31T22:00:00Z,2013-06-30T22:00:00Z,badger,badger,45_d500_42_560_0
45_d500_42_560_1,109,103,0,2020-01-31T23:00:00Z,2013-06-30T22:00:00Z,badger,badger,45_d500_42_560_0
64521015_4,110,134,0,2015-05-31T22:00:00Z,2015-02-28T23:00:00Z,cattle,cattle,64420038_6
56_d500_42_1979_2,111,103,0,2018-06-30T22:00:00Z,2013-06-30T22:00:00Z,badger,badger,45_d500_42_560_0
3_d500_285_0,112,43,0,2018-07-31T22:00:00Z,2011-08-31T22:00:00Z,badger,badger,45_d500_105_726_0
64359_5,113,43,0.005873850566039741,2014-03-31T22:00:00Z,2011-08-31T22:00:00Z,boar,badger,45_d500_105_726_0
45_d500_218_0,114,125,0,2015-06-30T22:00:00Z,2015-03-31T22:00:00Z,badger,cattle,64449006_0
64521015_5,115,43,0,2015-05-31T22:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
64521_0,116,43,0,2014-04-30T22:00:00Z,2011-08-31T22:00:00Z,boar,badger,45_d500_105_726_0
64449007_1,117,103,0,2015-03-31T22:00:00Z,2013-06-30T22:00:00Z,cattle,badger,45_d500_42_560_0
64521015_6,118,43,0,2014-02-28T23:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
64521015_7,119,43,0.0058827303298724,2015-05-31T22:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
64521015_9,120,43,0,2015-03-31T22:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
64521015_8,121,43,0,2015-03-31T22:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
56_d500_42_1979_3,122,297,0,2020-01-31T23:00:00Z,2018-03-31T22:00:00Z,badger,cattle,64244012_1
64521015_11,123,43,0,2015-05-31T22:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
64521015_10,124,43,0,2015-03-31T22:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
64449006_0,125,103,0.0058827303298724,2015-03-31T22:00:00Z,2013-06-30T22:00:00Z,cattle,badger,45_d500_42_560_0
64420002_3,126,2,0,2014-08-31T22:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
64521016_0,127,43,0,2016-06-30T22:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
64521015_12,128,43,0,2015-03-31T22:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
64420015_6,129,69,0,2015-03-31T22:00:00Z,2014-06-30T22:00:00Z,cattle,badger,45_d500_99_839_3
64521_1,130,43,0,2015-02-28T23:00:00Z,2011-08-31T22:00:00Z,boar,badger,45_d500_105_726_0
64556002_0,131,2,0,2015-03-31T22:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
64420038_5,132,43,0,2015-04-30T22:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
64420038_4,133,43,0,2015-02-28T23:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
64420038_6,134,43,0.0058827303298724,2015-02-28T23:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
3_d500_285_1,135,43,0,2020-01-31T23:00:00Z,2011-08-31T22:00:00Z,badger,badger,45_d500_105_726_0
64556005_0,136,29,0.005873850566039741,2014-11-30T23:00:00Z,2012-03-31T22:00:00Z,cattle,cattle,64420012_1
64420035_4,137,2,0.0058827303298724,2014-11-30T23:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
45_d500_157_858_2,138,184,0,2018-04-30T22:00:00Z,2017-06-30T22:00:00Z,badger,badger,45_d500_157_858_3
45_d500_99_766_3,139,2,0,2015-04-30T22:00:00Z,2007-06-30T22:00:00Z,badger,badger,45_d500_99_839_0
64420015_7,140,69,0,2015-01-31T23:00:00Z,2014-06-30T22:00:00Z,cattle,badger,45_d500_99_839_3
64420038_7,141,134,0,2015-04-30T22:00:00Z,2015-02-28T23:00:00Z,cattle,cattle,64420038_6
64420015_8,142,69,0,2015-03-31T22:00:00Z,2014-06-30T22:00:00Z,cattle,badger,45_d500_99_839_3
45_d500_160_2,143,69,0,2016-06-30T22:00:00Z,2014-06-30T22:00:00Z,badger,badger,45_d500_99_839_3
64508019_0,144,103,0,2015-02-28T23:00:00Z,2013-06-30T22:00:00Z,cattle,badger,45_d500_42_560_0
64420015_10,145,69,0,2015-01-31T23:00:00Z,2014-06-30T22:00:00Z,cattle,badger,45_d500_99_839_3
64420015_9,146,69,0,2015-03-31T22:00:00Z,2014-06-30T22:00:00Z,cattle,badger,45_d500_99_839_3
64420038_8,147,43,0.0058827303298724,2015-02-28T23:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
64449007_2,148,103,0,2015-03-31T22:00:00Z,2013-06-30T22:00:00Z,cattle,badger,45_d500_42_560_0
64521015_14,149,43,0,2015-03-31T22:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
64521015_13,150,43,0.0058827303298724,2015-05-31T22:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
40299005_0,151,43,0.0058827303298724,2017-03-31T22:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
64521016_1,152,43,0,2016-02-29T23:00:00Z,2011-08-31T22:00:00Z,cattle,badger,45_d500_105_726_0
64556002_1,153,2,0,2015-01-31T23:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
64556002_2,154,2,0,2015-01-31T23:00:00Z,2007-06-30T22:00:00Z,cattle,badger,45_d500_99_839_0
64420015_11,155,69,0,2015-01-31T23:00:00Z,2014-06-30T22:00:00Z,cattle,badger,45_d500_99_839_3
64420015_14,156,69,0,2015-03-31T22:00:00Z,2014-06-30T22:00:00Z,cattle,badger,45_d500_99_839_3
64420015_12,157,69,0,2015-03-31T22:00:00Z,2014-06-30T22:00:00Z,cattle,badger,45_d500_99_839_3
