X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,cattle,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6
10512,13,SB0832,cattle,cattle,64420012_1,64420012_0,64420012,64420012,within,48,-1,54,demographie,596,120,cattle->cattle,2011,6,b2012,224,224,64420012_0->64420012_1,64420012_0->64420012_1,64420012_0->64420012_1,64420012_0->64420012_1,64420012_0->64420012_1,64420012_0->64420012_1
10513,13,SB0832,cattle,cattle,64420012_2,64420012_0,64420012,64420012,within,48,50,62,abattage,597,120,cattle->cattle,2011,14,b2012,224,224,64420012_0->64420012_2,64420012_0->64420012_2,64420012_0->64420012_2,64420012_0->64420012_2,64420012_0->64420012_2,64420012_0->64420012_2
10514,13,SB0832,cattle,cattle,64420035_4,64420035_0,64420035,64420035,within,48,49,62,abattage,598,120,cattle->cattle,2011,14,b2012,224,224,64420035_0->64420035_4,64420035_0->64420035_4,64420035_0->64420035_4,64420035_0->64420035_4,64420035_0->64420035_4,64420035_0->64420035_4
10515,13,SB0832,cattle,cattle,64420044_14,64420044_12,64420044,64420044,within,48,-1,51,abattage,599,120,cattle->cattle,2011,3,b2012,224,224,64420044_12->64420044_14,64420044_12->64420044_14,64420044_12->64420044_14,64420044_12->64420044_14,64420044_12->64420044_14,64420044_12->64420044_14
10516,13,SB0832,cattle,cattle,64420044_12,64420044_3,64420044,64420044,within,48,48,51,abattage,600,120,cattle->cattle,2011,3,b2012,224,224,64420044_3->64420044_12,64420044_3->64420044_12,64420044_3->64420044_12,64420044_3->64420044_12,64420044_3->64420044_12,64420044_3->64420044_12
10517,13,SB0832,cattle,cattle,64420044_11,64420044_4,64420044,64420044,within,48,49,53,abattage,601,120,cattle->cattle,2011,5,b2012,224,224,64420044_4->64420044_11,64420044_4->64420044_11,64420044_4->64420044_11,64420044_4->64420044_11,64420044_4->64420044_11,64420044_4->64420044_11
10518,13,SB0832,cattle,cattle,64420044_13,64420044_5,64420044,64420044,within,48,-1,53,abattage,602,120,cattle->cattle,2011,5,b2012,224,224,64420044_5->64420044_13,64420044_5->64420044_13,64420044_5->64420044_13,64420044_5->64420044_13,64420044_5->64420044_13,64420044_5->64420044_13
10519,13,SB0832,cattle,cattle,64420012_3,64420012_0,64420012,64420012,within,49,-1,62,abattage,637,120,cattle->cattle,2011,13,b2012,224,224,64420012_0->64420012_3,64420012_0->64420012_3,64420012_0->64420012_3,64420012_0->64420012_3,64420012_0->64420012_3,64420012_0->64420012_3
10520,13,SB0832,cattle,cattle,64420015_18,64420015_14,64420015,64420015,within,49,-1,50,abattage,638,120,cattle->cattle,2011,1,b2012,224,224,64420015_14->64420015_18,64420015_14->64420015_18,64420015_14->64420015_18,64420015_14->64420015_18,64420015_14->64420015_18,64420015_14->64420015_18
10521,13,SB0832,cattle,cattle,64420015_19,64420015_16,64420015,64420015,within,49,-1,50,abattage,639,120,cattle->cattle,2011,1,b2012,224,224,64420015_16->64420015_19,64420015_16->64420015_19,64420015_16->64420015_19,64420015_16->64420015_19,64420015_16->64420015_19,64420015_16->64420015_19
10522,13,SB0832,cattle,cattle,64420035_5,64420035_4,64420035,64420035,within,49,51,62,demographie,640,120,cattle->cattle,2011,13,b2012,224,224,64420035_4->64420035_5,64420035_4->64420035_5,64420035_4->64420035_5,64420035_4->64420035_5,64420035_4->64420035_5,64420035_4->64420035_5
10523,13,SB0832,cattle,cattle,64420044_19,64420044_1,64420044,64420044,within,49,51,51,abattage,641,120,cattle->cattle,2011,2,b2012,224,224,64420044_1->64420044_19,64420044_1->64420044_19,64420044_1->64420044_19,64420044_1->64420044_19,64420044_1->64420044_19,64420044_1->64420044_19
10524,13,SB0832,cattle,cattle,64420044_18,64420044_11,64420044,64420044,within,49,-1,51,abattage,642,120,cattle->cattle,2011,2,b2012,224,224,64420044_11->64420044_18,64420044_11->64420044_18,64420044_11->64420044_18,64420044_11->64420044_18,64420044_11->64420044_18,64420044_11->64420044_18
10525,13,SB0832,cattle,cattle,64420044_16,64420044_3,64420044,64420044,within,49,53,53,abattage,643,120,cattle->cattle,2011,4,b2012,224,224,64420044_3->64420044_16,64420044_3->64420044_16,64420044_3->64420044_16,64420044_3->64420044_16,64420044_3->64420044_16,64420044_3->64420044_16
10526,13,SB0832,cattle,cattle,64420044_15,64420044_4,64420044,64420044,within,49,-1,51,abattage,644,120,cattle->cattle,2011,2,b2012,224,224,64420044_4->64420044_15,64420044_4->64420044_15,64420044_4->64420044_15,64420044_4->64420044_15,64420044_4->64420044_15,64420044_4->64420044_15
10527,13,SB0832,cattle,cattle,64420044_17,64420044_4,64420044,64420044,within,49,51,51,abattage,645,120,cattle->cattle,2011,2,b2012,224,224,64420044_4->64420044_17,64420044_4->64420044_17,64420044_4->64420044_17,64420044_4->64420044_17,64420044_4->64420044_17,64420044_4->64420044_17
10528,13,SB0832,cattle,cattle,64420012_4,64420012_0,64420012,64420012,within,50,55,62,abattage,689,120,cattle->cattle,2011,12,b2012,224,224,64420012_0->64420012_4,64420012_0->64420012_4,64420012_0->64420012_4,64420012_0->64420012_4,64420012_0->64420012_4,64420012_0->64420012_4
10529,13,SB0832,cattle,cattle,64420012_5,64420012_2,64420012,64420012,within,50,-1,57,demographie,690,120,cattle->cattle,2011,7,b2012,224,224,64420012_2->64420012_5,64420012_2->64420012_5,64420012_2->64420012_5,64420012_2->64420012_5,64420012_2->64420012_5,64420012_2->64420012_5
10530,13,SB0832,cattle,cattle,64420015_21,64420015_10,64420015,64420015,within,50,-1,50,abattage,691,120,cattle->cattle,2011,0,b2012,224,224,64420015_10->64420015_21,64420015_10->64420015_21,64420015_10->64420015_21,64420015_10->64420015_21,64420015_10->64420015_21,64420015_10->64420015_21
10531,13,SB0832,cattle,cattle,64420015_20,64420015_14,64420015,64420015,within,50,-1,50,abattage,692,120,cattle->cattle,2011,0,b2012,224,224,64420015_14->64420015_20,64420015_14->64420015_20,64420015_14->64420015_20,64420015_14->64420015_20,64420015_14->64420015_20,64420015_14->64420015_20
10532,13,SB0832,cattle,cattle,64420015_22,64420015_17,64420015,64420015,within,50,-1,50,abattage,693,120,cattle->cattle,2011,0,b2012,224,224,64420015_17->64420015_22,64420015_17->64420015_22,64420015_17->64420015_22,64420015_17->64420015_22,64420015_17->64420015_22,64420015_17->64420015_22
10533,13,SB0832,cattle,cattle,64420015_23,64420015_17,64420015,64420015,within,50,-1,50,abattage,694,120,cattle->cattle,2011,0,b2012,224,224,64420015_17->64420015_23,64420015_17->64420015_23,64420015_17->64420015_23,64420015_17->64420015_23,64420015_17->64420015_23,64420015_17->64420015_23
10534,13,SB0832,cattle,cattle,64420035_9,64420035_0,64420035,64420035,within,50,51,62,abattage,695,120,cattle->cattle,2011,12,b2012,224,224,64420035_0->64420035_9,64420035_0->64420035_9,64420035_0->64420035_9,64420035_0->64420035_9,64420035_0->64420035_9,64420035_0->64420035_9
10535,13,SB0832,cattle,cattle,64420035_10,64420035_1,64420035,64420035,within,50,62,62,abattage,696,120,cattle->cattle,2011,12,b2012,224,224,64420035_1->64420035_10,64420035_1->64420035_10,64420035_1->64420035_10,64420035_1->64420035_10,64420035_1->64420035_10,64420035_1->64420035_10
