X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,cattle
25806,13,SB0832,cattle,cattle,64420035_8,64420047_15,64420035,64420047,pasture,55,59,68,abattage,375,135,cattle->cattle,2011,13,b2012,235,235
25807,13,SB0832,cattle,cattle,64420038_7,64420047_7,64420038,64420047,pasture,55,56,65,abattage,376,135,cattle->cattle,2011,10,b2012,235,235
25808,13,SB0832,cattle,cattle,64420047_17,64420047_8,64420047,64420047,within,55,56,56,abattage,377,135,cattle->cattle,2011,1,b2012,235,235
25809,13,SB0832,cattle,cattle,64420012_18,64420012_1,64420012,64420012,within,56,-1,64,abattage,386,135,cattle->cattle,2011,8,b2012,235,235
25810,13,SB0832,cattle,cattle,64420012_20,64420012_14,64420012,64420012,within,56,64,64,abattage,387,135,cattle->cattle,2011,8,b2012,235,235
25811,13,SB0832,cattle,cattle,64420012_17,64420012_2,64420012,64420012,within,56,-1,64,abattage,388,135,cattle->cattle,2011,8,b2012,235,235
25812,13,SB0832,cattle,cattle,64420012_19,64420012_6,64420012,64420012,within,56,58,64,abattage,389,135,cattle->cattle,2011,8,b2012,235,235
25813,13,SB0832,cattle,cattle,64420039_1,64420047_12,64420039,64420047,pasture,56,57,65,demographie,390,135,cattle->cattle,2011,9,b2012,235,235
25814,13,SB0832,cattle,cattle,64420012_21,64420012_0,64420012,64420012,within,57,59,64,abattage,399,135,cattle->cattle,2011,7,b2012,235,235
25815,13,SB0832,cattle,cattle,64420012_22,64420012_3,64420012,64420012,within,57,-1,64,abattage,400,135,cattle->cattle,2011,7,b2012,235,235
25816,13,SB0832,cattle,cattle,64420035_10,64420035_5,64420035,64420035,within,57,59,68,abattage,401,135,cattle->cattle,2011,11,b2012,235,235
25817,13,SB0832,cattle,cattle,64420042_0,64420035_5,64420042,64420035,pasture,57,65,72,abattage,402,135,cattle->cattle,2011,15,b2012,235,235
25818,13,SB0832,cattle,cattle,64420038_9,64420038_1,64420038,64420038,within,57,58,65,abattage,403,135,cattle->cattle,2011,8,b2012,235,235
25819,13,SB0832,cattle,cattle,64420038_8,64420038_7,64420038,64420038,within,57,57,65,abattage,404,135,cattle->cattle,2011,8,b2012,235,235
25820,13,SB0832,cattle,cattle,64420028_2,64420047_10,64420028,64420047,pasture,57,-1,71,abattage,405,135,cattle->cattle,2011,14,b2012,235,235
25821,13,SB0832,cattle,cattle,64420028_3,64420047_10,64420028,64420047,pasture,57,63,71,abattage,406,135,cattle->cattle,2011,14,b2012,235,235
25822,13,SB0832,cattle,cattle,64281001_1,64420047_12,64281001,64420047,pasture,57,58,64,demographie,407,135,cattle->cattle,2011,7,b2012,235,235
25823,13,SB0832,cattle,cattle,64420035_9,64420047_2,64420035,64420047,pasture,57,60,68,abattage,408,135,cattle->cattle,2011,11,b2012,235,235
25824,13,SB0832,cattle,cattle,64420035_11,64420047_5,64420035,64420047,pasture,57,67,68,abattage,409,135,cattle->cattle,2011,11,b2012,235,235
25825,13,SB0832,cattle,cattle,64420039_2,64420047_8,64420039,64420047,pasture,57,60,66,abattage,410,135,cattle->cattle,2011,9,b2012,235,235
25826,13,SB0832,cattle,cattle,64281001_2,64281001_1,64281001,64281001,within,58,64,67,abattage,421,135,cattle->cattle,2011,9,b2012,235,235
25827,13,SB0832,cattle,cattle,64420012_23,64420012_10,64420012,64420012,within,58,60,64,abattage,425,135,cattle->cattle,2011,6,b2012,235,235
25828,13,SB0832,cattle,cattle,64420012_25,64420012_13,64420012,64420012,within,58,59,63,demographie,426,135,cattle->cattle,2011,5,b2012,235,235
25829,13,SB0832,cattle,cattle,64420012_24,64420012_7,64420012,64420012,within,58,-1,64,abattage,427,135,cattle->cattle,2011,6,b2012,235,235
