sp_infector,R,nb,R_sim,nb_sim,tree,scenario
cattle,0.7649769585253456,217,0.7741935483870968,217,B1_23,3
badger,2.0555555555555554,18,NA,0,B1_23,4
boar,1.7586206896551724,29,0.7931034482758621,29,B1_23,4
cattle,0.8064516129032258,217,0.8755760368663594,217,B1_23,4
badger,1.6296296296296295,27,1.0384615384615385,26,B1_23,5
boar,2.8333333333333335,18,NA,0,B1_23,5
cattle,0.7649769585253456,217,0.8617511520737328,217,B1_23,5
badger,2.0555555555555554,18,NA,0,B1_23,6
boar,1.7586206896551724,29,0.3793103448275862,29,B1_23,6
cattle,0.8064516129032258,217,0.8894009216589862,217,B1_23,6
badger,0.2631578947368421,38,0.5526315789473685,38,B1_26,1
boar,0.8571428571428571,21,0.6666666666666666,21,B1_26,1
cattle,1.2127659574468086,141,0.36879432624113473,141,B1_26,1
badger,0.25,36,0.2647058823529412,34,B1_26,2
boar,0.8571428571428571,21,0.5238095238095238,21,B1_26,2
cattle,1.2056737588652482,141,0.3049645390070922,141,B1_26,2
badger,0.2631578947368421,38,0.5526315789473685,38,B1_26,3
boar,1.8,10,NA,0,B1_26,3
cattle,1.1347517730496455,141,0.49645390070921985,141,B1_26,3
badger,1,6,NA,0,B1_26,4
boar,0.8571428571428571,21,0.3333333333333333,21,B1_26,4
cattle,1.0141843971631206,141,0.9574468085106383,141,B1_26,4
badger,0.25,36,0.23529411764705882,34,B1_26,5
boar,1.8,10,NA,0,B1_26,5
cattle,1.127659574468085,141,0.574468085106383,141,B1_26,5
badger,1,6,NA,0,B1_26,6
boar,0.8571428571428571,21,1.4761904761904763,21,B1_26,6
cattle,1.0141843971631206,141,0.75177304964539,141,B1_26,6
badger,0.4222222222222222,45,1,45,B1_27,1
boar,0.7857142857142857,28,1,28,B1_27,1
cattle,1.191358024691358,162,0.8333333333333334,162,B1_27,1
badger,0.5428571428571428,35,0.9428571428571428,35,B1_27,2
boar,0.7857142857142857,28,1.0714285714285714,28,B1_27,2
cattle,1.1296296296296295,162,0.8641975308641975,162,B1_27,2
badger,0.26666666666666666,45,0.8,45,B1_27,3
boar,1.6923076923076923,13,NA,0,B1_27,3
cattle,1.1419753086419753,162,0.9506172839506173,162,B1_27,3
badger,1.8,10,NA,0,B1_27,4
boar,0.7857142857142857,28,0.75,28,B1_27,4
cattle,0.9814814814814815,162,0.9074074074074074,162,B1_27,4
badger,0.34285714285714286,35,0.8571428571428571,35,B1_27,5
boar,1.6923076923076923,13,NA,0,B1_27,5
cattle,1.0802469135802468,162,0.9197530864197531,162,B1_27,5
badger,1.8,10,NA,0,B1_27,6
boar,0.7857142857142857,28,1.0357142857142858,28,B1_27,6
cattle,0.9814814814814815,162,0.8765432098765432,162,B1_27,6
badger,0.6470588235294118,34,0.5588235294117647,34,B1_28,1
boar,0.9148936170212766,47,0.3829787234042553,47,B1_28,1
cattle,1.088235294117647,170,0.9294117647058824,170,B1_28,1
badger,0.6875,32,0.96875,32,B1_28,2
boar,0.9148936170212766,47,0.723404255319149,47,B1_28,2
cattle,1.076470588235294,170,0.7470588235294118,170,B1_28,2
badger,0.5882352941176471,34,0.7941176470588235,34,B1_28,3
boar,2.3529411764705883,17,NA,0,B1_28,3
cattle,0.9411764705882353,170,0.8176470588235294,170,B1_28,3
badger,1.6363636363636365,11,NA,0,B1_28,4
boar,0.8936170212765957,47,0.6170212765957447,47,B1_28,4
cattle,0.9823529411764705,170,0.7294117647058823,170,B1_28,4
badger,0.625,32,0.5625,32,B1_28,5
boar,2.3529411764705883,17,NA,0,B1_28,5
cattle,0.9294117647058824,170,0.9176470588235294,170,B1_28,5
badger,1.6363636363636365,11,NA,0,B1_28,6
boar,0.8936170212765957,47,0.5319148936170213,47,B1_28,6
cattle,0.9823529411764705,170,0.7764705882352941,170,B1_28,6
badger,0.4126984126984127,63,0.6984126984126984,63,B1_29,1
