sp_infector,R,nb,R_sim,nb_sim,tree,scenario
cattle,1.3852813852813852,231,1.1515151515151516,231,A1_5,3
badger,1.588235294117647,17,NA,0,A1_5,4
cattle,1.147186147186147,231,1.173160173160173,231,A1_5,4
boar,0,45,0.08888888888888889,45,A1_5,4
badger,0.2127659574468085,94,0.021739130434782608,92,A1_5,5
cattle,1.316017316017316,231,1.3852813852813852,231,A1_5,5
badger,1.5625,16,NA,0,A1_5,6
cattle,1.1428571428571428,231,1.1645021645021645,231,A1_5,6
boar,0,43,0.09302325581395349,43,A1_5,6
badger,0.611764705882353,85,2.9411764705882355,85,A1_6,1
cattle,1.3232323232323233,198,0.32323232323232326,198,A1_6,1
boar,0,32,0,32,A1_6,1
badger,0.6582278481012658,79,0.5256410256410257,78,A1_6,2
cattle,1.292929292929293,198,1.3434343434343434,198,A1_6,2
boar,0,32,0,32,A1_6,2
badger,0.47058823529411764,85,2.635294117647059,85,A1_6,3
cattle,1.2222222222222223,198,0.29292929292929293,198,A1_6,3
badger,1.4838709677419355,31,NA,0,A1_6,4
cattle,1.0808080808080809,198,1.1565656565656566,198,A1_6,4
boar,0,32,0,32,A1_6,4
badger,0.5063291139240507,79,0.5,78,A1_6,5
cattle,1.1919191919191918,198,1.1919191919191918,198,A1_6,5
badger,1.4838709677419355,31,NA,0,A1_6,6
cattle,1.0808080808080809,198,1.1565656565656566,198,A1_6,6
boar,0,32,0,32,A1_6,6
badger,0.8809523809523809,42,1.4285714285714286,42,A1_7,1
cattle,1.5348837209302326,43,0.8372093023255814,43,A1_7,1
boar,0,19,0.3684210526315789,19,A1_7,1
badger,0.8947368421052632,38,0.02857142857142857,35,A1_7,2
cattle,1.4883720930232558,43,2.1627906976744184,43,A1_7,2
boar,0,18,0.05555555555555555,18,A1_7,2
badger,0.5952380952380952,42,1.1904761904761905,42,A1_7,3
cattle,1.372093023255814,43,0.7906976744186046,43,A1_7,3
badger,1.7142857142857142,14,NA,0,A1_7,4
cattle,1.186046511627907,43,1.302325581395349,43,A1_7,4
boar,0,19,0.2631578947368421,19,A1_7,4
badger,0.6052631578947368,38,0.02857142857142857,35,A1_7,5
cattle,1.3255813953488371,43,1.7674418604651163,43,A1_7,5
badger,1.6428571428571428,14,NA,0,A1_7,6
cattle,1.186046511627907,43,1.3953488372093024,43,A1_7,6
boar,0,18,0,18,A1_7,6
badger,0.8813559322033898,118,0.6949152542372882,118,A1_8,1
cattle,1.32,275,0.7018181818181818,275,A1_8,1
boar,0,75,2.56,75,A1_8,1
badger,0.9454545454545454,110,0.6666666666666666,108,A1_8,2
cattle,1.2836363636363637,275,0.6909090909090909,275,A1_8,2
boar,0,73,2.643835616438356,73,A1_8,2
badger,0.576271186440678,118,0.5423728813559322,118,A1_8,3
cattle,1.1781818181818182,275,1.1927272727272726,275,A1_8,3
badger,1.7678571428571428,56,NA,0,A1_8,4
cattle,1.1127272727272728,275,0.6872727272727273,275,A1_8,4
boar,0,75,2.1333333333333333,75,A1_8,4
badger,0.6238532110091743,109,0.5370370370370371,108,A1_8,5
cattle,1.1454545454545455,275,1.1781818181818182,275,A1_8,5
badger,1.7678571428571428,56,NA,0,A1_8,6
cattle,1.1054545454545455,275,0.68,275,A1_8,6
boar,0,73,2.191780821917808,73,A1_8,6
badger,0.616,125,0.576,125,A1_9,1
cattle,1.5091575091575091,273,0.8864468864468864,273,A1_9,1
boar,0,92,1.9021739130434783,92,A1_9,1
badger,0.6517857142857143,112,0.6728971962616822,107,A1_9,2
cattle,1.4432234432234432,273,0.9853479853479854,273,A1_9,2
boar,0,83,1.4578313253012047,83,A1_9,2
badger,0.408,125,0.984,125,A1_9,3
cattle,1.2673992673992673,273,1.0036630036630036,273,A1_9,3
badger,1.5625,48,NA,0,A1_9,4
cattle,1.2344322344322345,273,0.8168498168498168,273,A1_9,4
boar,0,92,1.5326086956521738,92,A1_9,4
badger,0.4594594594594595,111,0.719626168224299,107,A1_9,5
cattle,1.216117216117216,273,1.1062271062271063,273,A1_9,5
badger,1.5434782608695652,46,NA,0,A1_9,6
cattle,1.2087912087912087,273,0.9230769230769231,273,A1_9,6
boar,0,83,1.2409638554216869,83,A1_9,6
badger,0.7948717948717948,39,0.10256410256410256,39,A1_10,1
cattle,1.449612403100775,129,1.550387596899225,129,A1_10,1
boar,0,51,0.2549019607843137,51,A1_10,1
badger,0.9,30,0.11538461538461539,26,A1_10,2
cattle,1.3255813953488371,129,1.372093023255814,129,A1_10,2
boar,0,40,0.325,40,A1_10,2
badger,0.41025641025641024,39,0.07692307692307693,39,A1_10,3
cattle,1.1705426356589148,129,1.2635658914728682,129,A1_10,3
badger,1.5333333333333334,15,NA,0,A1_10,4
cattle,1.3255813953488371,129,1.302325581395349,129,A1_10,4
boar,0,51,0.19607843137254902,51,A1_10,4
badger,0.5,28,0.07692307692307693,26,A1_10,5
cattle,1.1007751937984496,129,1.1705426356589148,129,A1_10,5
badger,1.4,15,NA,0,A1_10,6
cattle,1.255813953488372,129,1.2170542635658914,129,A1_10,6
boar,0,40,0.25,40,A1_10,6
badger,0.62,100,3.1,100,A1_11,1
cattle,1.3438735177865613,253,0.36363636363636365,253,A1_11,1
boar,0,50,0,50,A1_11,1
badger,0.6185567010309279,97,1.2736842105263158,95,A1_11,2
cattle,1.3399209486166008,253,1.0909090909090908,253,A1_11,2
boar,0,50,0,50,A1_11,2
badger,0.53,100,2.74,100,A1_11,3
cattle,1.1818181818181819,253,0.308300395256917,253,A1_11,3
