40089001_0_cattle_2014-06-01,40089001_10_cattle_2014-06-01,40089001_11_cattle_2014-06-01,40089001_12_cattle_2014-06-01,40089001_13_cattle_2014-06-01,40089001_14_cattle_2014-05-01,40089001_15_cattle_2014-06-01,40089001_16_cattle_2014-06-01,40089001_17_cattle_2014-06-01,40089001_18_cattle_2014-06-01,40089001_19_cattle_2014-06-01,40089001_1_cattle_2012-11-01,40089001_20_cattle_2014-06-01,40089001_21_cattle_2014-06-01,40089001_22_cattle_2014-06-01,40089001_23_cattle_2013-10-01,40089001_24_cattle_2014-06-01,40089001_25_cattle_2014-06-01,40089001_26_cattle_2014-06-01,40089001_27_cattle_2014-05-01,40089001_28_cattle_2014-06-01,40089001_29_cattle_2014-06-01,40089001_2_cattle_2014-06-01,40089001_30_cattle_2014-06-01,40089001_31_cattle_2014-06-01,40089001_32_cattle_2014-06-01,40089001_33_cattle_2014-06-01,40089001_34_cattle_2014-06-01,40089001_35_cattle_2014-06-01,40089001_36_cattle_2014-06-01,40089001_37_cattle_2014-06-01,40089001_38_cattle_2014-06-01,40089001_3_cattle_2014-06-01,40089001_4_cattle_2014-06-01,40089001_5_cattle_2014-06-01,40089001_6_cattle_2014-06-01,40089001_7_cattle_2014-06-01,40089001_8_cattle_2014-05-01,40089001_9_cattle_2014-06-01,64420015_0_cattle_2009-04-01,64420015_10_cattle_2009-04-01,64420015_11_cattle_2009-04-01,64420015_12_cattle_2009-04-01,64420015_13_cattle_2009-04-01,64420015_14_cattle_2009-04-01,64420015_15_cattle_2009-04-01,64420015_16_cattle_2009-04-01,64420015_17_cattle_2009-04-01,64420015_18_cattle_2009-04-01,64420015_19_cattle_2009-04-01,64420015_1_cattle_2009-01-01,64420015_2_cattle_2008-10-01,64420015_3_cattle_2008-05-01,64420015_4_cattle_2009-04-01,64420015_5_cattle_2008-05-01,64420015_6_cattle_2009-04-01,64420015_7_cattle_2009-04-01,64420015_8_cattle_2009-04-01,64420015_9_cattle_2009-04-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002999400119976005,0,0.027994401119775976,0.0037992401519696068,0.0049990001999600095,0.194361127774449,0.027394521095780777,0.18676264747050955,0.007598480303939215,0.006598680263947213,0.03879224155168955,0.009798040391921612,0.002199560087982403,0,9.998000399920016e-4,0,0.008198360327934416,0.08238352329534135,0.0027994401119776045,0.07618476304739075
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004399120175964808,0.024395120975804784,0,0.004199160167966408,0.0049990001999600095,0.0165966806638672,0.353929214157163,0.013797240551889604,0.009998000399920012,0.00519896020795841,0.20255948810238367,0.008998200359928014,0.005798840231953611,0,0.0017996400719856025,0.001399720055988802,0.01099780043991201,0.024995000999799982,0.0019996000799840027,0.023395320935812786
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19616076784643466,0.0045990801839632086,0.0023995200959808036,0,0.04059188162367515,0.0027994401119776045,0.007198560287942414,0.001399720055988802,0.012197560487902407,0.06838632273545289,0.0035992801439712063,0.013397320535892805,0.008398320335932815,5.998800239952009e-4,0.1787642471505733,0.0017996400719856025,0.01119776044791041,0.0045990801839632086,0.04539092181563674,0.00519896020795841
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04499100179963994,0.0031993601279744054,0.003399320135972806,0.05818836232753431,0,0.0027994401119776045,0.0023995200959808036,0.0015996800639872023,0.010197960407918412,0.22295540891822113,0.0023995200959808036,0.013397320535892805,0.002999400119976005,5.998800239952009e-4,0.03499300139971996,9.998000399920016e-4,0.013397320535892805,0.006198760247950412,0.4301139772045453,0.0037992401519696068
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002999400119976005,0.2069586082783486,0.02159568086382719,0.008198360327934416,0.0031993601279744054,0,0.014397120575884803,0.412517496500688,0.007998400319936016,0.0027994401119776045,0.02179564087182559,0.004799040191961609,0.004399120175964808,1.999600079984003e-4,0.002199560087982403,0.0017996400719856025,0.006398720255948813,0.05338932213557272,0.0027994401119776045,0.047790441911617534
0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004799040191961609,0.020195960807838392,0.38932213557287604,0.001399720055988802,0.002999400119976005,0.0161967606478704,0,0.018596280743851196,0.011797640471905608,0.005998800239952012,0.20535892821436136,0.00519896020795841,0.004399120175964808,1.999600079984003e-4,0.0015996800639872023,9.998000399920016e-4,0.0067986402719456135,0.029194161167766373,0.0019996000799840027,0.022595480903819187
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0.16216756648670555,0.017796440711857597,0.0019996000799840027,0.0011997600479904018,0.3519296140771792,0.008198360327934416,0,0.003999200159968007,0.0035992801439712063,0.017796440711857597,0.0035992801439712063,0.002999400119976005,1.999600079984003e-4,1.999600079984003e-4,0,0.0027994401119776045,0.04119176164767035,0.001399720055988802,0.03599280143971196
0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0.00519896020795841,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018996200759847995,0.02059588082383519,0.0163967206558688,0.025194961007798382,0.02559488102379518,0.012197560487902407,0.0163967206558688,0.00519896020795841,0,0.027794441111777576,0.02539492101579678,0.04099180163967195,0.028994201159767974,0.007998400319936016,0.013397320535892805,0.007798440311937616,0.20255948810238367,0.018396320735852796,0.023795240951809585,0.013197360527894405
0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056988602279543915,0.004399120175964808,0.0035992801439712063,0.07758448310337959,0.2251549690062036,0.004199160167966408,0.008598280343931215,0.006998600279944014,0.019196160767846394,0,0.004799040191961609,0.014197160567886403,0.007998400319936016,9.998000399920016e-4,0.052389522095580725,0.0015996800639872023,0.018996200759847995,0.00519896020795841,0.1851629674065223,0.0067986402719456135
0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00539892021595681,0.04199160167966395,0.17216556688662588,0.0035992801439712063,0.005598880223955211,0.023395320935812786,0.1853629274145207,0.028194361127774376,0.017396520695860798,0.006398720255948813,0,0.015996800639872,0.009598080383923213,0.004399120175964808,0.0023995200959808036,5.998800239952009e-4,0.0157968406318736,0.03719256148770236,0.008598280343931215,0.03919216156768635
0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023795240951809585,0.026994601079783978,0.023595280943811185,0.02059588082383519,0.024595080983803183,0.022195560887822388,0.023995200959807984,0.013997200559888004,0.056388722255548716,0.03459308138372316,0.03199360127974397,0,0.12297540491901787,0.037792441511697555,0.011397720455908809,0.03079384123175357,0.06098780243951191,0.022195560887822388,0.016996600679864,0.016996600679864
